stage_id,order,mode,role,generating_script,validation_script,audit_script,required_inputs,produced_outputs,package_groups,system_libraries,seed,deterministic,output_class,invariant
04_validate_local_pigmented_isolates,16,verify,candidate_definition_validation,,validation/validate_local_pigmented_isolates.R,,results/ecological_v20_local_white_isolates/,results/ecological_v20_local_white_isolates/VALIDATION.md,human_context,gdal;geos;proj;udunits,NA,TRUE,validation,all validation rows PASS
04_audit_local_pigmented_isolates,17,verify,candidate_definition_validation,,validation/audit_local_pigmented_isolates.R,validation/audit_local_pigmented_isolates.R,results/ecological_v20_local_white_isolates/,results/ecological_v20_local_white_isolates/AUDIT.md,human_context,gdal;geos;proj;udunits,NA,TRUE,validation,all audit rows PASS
S1_run_candidate_doy_check,18,extensions,supplementary_flowering_date_check,scripts/run_candidate_doy_check.R,validation/validate_candidate_doy_check.R,,results/ecological_v11_pigmentation_hurdle/;results/ecological_v15_multiscale_hotspots/;results/ecological_v20_local_white_isolates/,results/ecological_v24_candidate_doy_check/,human_context,gdal;geos;proj;udunits,NA,TRUE,supplementary_result,DOY never affects selection or main claims
S1_validate_candidate_doy_check,19,verify,supplementary_flowering_date_check_validation,,validation/validate_candidate_doy_check.R,,results/ecological_v24_candidate_doy_check/,results/ecological_v24_candidate_doy_check/VALIDATION.md,human_context,gdal;geos;proj;udunits,NA,TRUE,validation,all validation rows PASS
05_run_local_human_context,20,extensions,exploratory_human_context,scripts/run_local_human_context.R,validation/validate_local_human_context.R,validation/audit_local_human_context.R,results/ecological_v15_multiscale_hotspots/;results/ecological_v19_human_landscape_extremes/;reproduction_inputs/,results/ecological_v21_local_human_neighbourhood/,human_context,gdal;geos;proj;udunits,NA,FALSE,publication_result,post-selection contrasts only
05_validate_local_human_context,21,verify,exploratory_human_context_validation,,validation/validate_local_human_context.R,,results/ecological_v21_local_human_neighbourhood/,results/ecological_v21_local_human_neighbourhood/VALIDATION.md,human_context,gdal;geos;proj;udunits,NA,TRUE,validation,all validation rows PASS
05_audit_local_human_context,22,verify,exploratory_human_context_validation,,validation/audit_local_human_context.R,validation/audit_local_human_context.R,results/ecological_v21_local_human_neighbourhood/,results/ecological_v21_local_human_neighbourhood/AUDIT.md,human_context,gdal;geos;proj;udunits,NA,TRUE,validation,all audit rows PASS
05_run_did_sensitivity,23,extensions,exploratory_human_context_sensitivity,scripts/run_did_sensitivity.R,validation/validate_did_sensitivity.R,validation/audit_did_sensitivity.R,results/ecological_v15_multiscale_hotspots/;results/ecological_v21_local_human_neighbourhood/;reproduction_inputs/,results/ecological_v22_did_human_context/,human_context,gdal;geos;proj;udunits,NA,FALSE,publication_result,DID sensitivity only
05_validate_did_sensitivity,24,verify,exploratory_human_context_validation,,validation/validate_did_sensitivity.R,,results/ecological_v22_did_human_context/,results/ecological_v22_did_human_context/VALIDATION.md,human_context,gdal;geos;proj;udunits,NA,TRUE,validation,all validation rows PASS
05_audit_did_sensitivity,25,verify,exploratory_human_context_validation,,validation/audit_did_sensitivity.R,validation/audit_did_sensitivity.R,results/ecological_v22_did_human_context/,results/ecological_v22_did_human_context/AUDIT.md,human_context,gdal;geos;proj;udunits,NA,TRUE,validation,all audit rows PASS
06_test_publication_modules,26,verify,software_validation,tests/testthat.R,tests/testthat.R,,tests/testthat/,results/final_analysis_pipeline/logs/06_test_publication_modules_stdout.log,testing,gdal;geos;proj;udunits,NA,TRUE,validation,active unit tests pass
06_write_publication_lock,27,verify,final_lock,scripts/run_publication_pipeline.R,,,results/,results/final_analysis_pipeline/,none,none,NA,TRUE,publication_result,registries written from fresh outputs
06_validate_publication_lock,28,verify,final_lock_validation,,validation/validate_publication_pipeline.R,,results/final_analysis_pipeline/,results/final_analysis_pipeline/final_independent_validation.csv,none,none,NA,TRUE,validation,all validation rows PASS
06_audit_publication_claims,29,verify,final_claim_audit,,validation/audit_publication_claims.R,validation/audit_publication_claims.R,results/final_analysis_pipeline/,results/final_analysis_pipeline/final_claim_audit.csv,none,none,NA,TRUE,validation,scientific results are not converted into software failures
07_build_publication_figures,30,figures,manuscript_outputs,scripts/build_publication_figures.R,,,results/,manuscript/figures/,publication_figures,gdal;geos;proj;udunits;fontconfig;harfbuzz;freetype,NA,TRUE,publication_result,figures are generated from the fresh run
